weight;word;color;url
1;DevOps;;
2;Cloud technologies;;
2;Design;;
2;Full stack;;
2;NodeJs;;
1;Spring Boot;;
1;Machine learning;;
1;Python;;
1;Data viz;;
1;IoT;;
2;Software architecture;;
2;Big data;;
2;3D;;
1;Angular;;
2;Game development;;
2;ReactJs;;
2;SQL/NoSQL;;
1;Bootstrap;;
2;React Native;;
2;SCRUM;;
1;PHP;;
1;AWS;;
1;Azure;;
